# Force and moment coefficients
# dragDir       : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# rollAxis      : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# magUInf       : 2.49796991e+02
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e-03
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
88              	4.20988064e-02	2.10494032e-02	2.10494032e-02	6.12502906e-01	1.76879012e-01	4.35623894e-01	-1.29372441e-01	8.11917853e-21	-1.01758303e-19	7.06281660e-20	-6.64442199e-20	1.37072386e-19
89              	4.17967888e-02	2.08983944e-02	2.08983944e-02	6.15038678e-01	1.77809693e-01	4.37228985e-01	-1.29709646e-01	8.16713408e-21	-1.01304858e-19	6.99855933e-20	-6.63120611e-20	1.36297654e-19
90              	4.14623041e-02	2.07311520e-02	2.07311520e-02	6.17638259e-01	1.78707310e-01	4.38930949e-01	-1.30111820e-01	8.21523497e-21	-1.00889096e-19	6.93333610e-20	-6.62224158e-20	1.35555777e-19
91              	4.10817509e-02	2.05408755e-02	2.05408755e-02	6.20320318e-01	1.79588618e-01	4.40731700e-01	-1.30571541e-01	8.26605727e-21	-1.00456649e-19	6.87555327e-20	-6.60788829e-20	1.34834416e-19
92              	4.06746715e-02	2.03373358e-02	2.03373358e-02	6.23082466e-01	1.80447000e-01	4.42635466e-01	-1.31094233e-01	8.31598421e-21	-1.00062266e-19	6.81682683e-20	-6.59781318e-20	1.34146400e-19
93              	4.02415123e-02	2.01207562e-02	2.01207562e-02	6.25923123e-01	1.81296599e-01	4.44626523e-01	-1.31664962e-01	8.36655062e-21	-9.96727313e-20	6.76323225e-20	-6.58565701e-20	1.33488893e-19
94              	3.97808352e-02	1.98904176e-02	1.98904176e-02	6.28808125e-01	1.82138113e-01	4.46670012e-01	-1.32265949e-01	8.41872140e-21	-9.92774688e-20	6.71734241e-20	-6.56907567e-20	1.32864181e-19
95              	3.93145075e-02	1.96572538e-02	1.96572538e-02	6.31749348e-01	1.82990502e-01	4.48758846e-01	-1.32884172e-01	8.46804826e-21	-9.89252308e-20	6.66890249e-20	-6.55807183e-20	1.32269743e-19
96              	3.88341494e-02	1.94170747e-02	1.94170747e-02	6.34740217e-01	1.83848998e-01	4.50891219e-01	-1.33521111e-01	8.51805876e-21	-9.85683719e-20	6.62752309e-20	-6.54307565e-20	1.31705987e-19
97              	3.83544483e-02	1.91772242e-02	1.91772242e-02	6.37771548e-01	1.84716607e-01	4.53054942e-01	-1.34169168e-01	8.56454055e-21	-9.82549404e-20	6.58315216e-20	-6.53391796e-20	1.31170701e-19
