# Force and moment coefficients
# dragDir       : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# rollAxis      : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
3900            	2.38347948e-01	1.19173375e-01	1.19174572e-01	1.10616856e+00	5.25779304e-01	5.80389257e-01	-2.73049768e-02	-5.98562304e-07	-2.20844082e-05	-3.17744547e-05	-3.79716355e-05	6.19718080e-06
3950            	2.38352878e-01	1.19186394e-01	1.19166484e-01	1.10631171e+00	5.25855038e-01	5.80456670e-01	-2.73008157e-02	9.95475300e-06	1.52844993e-05	2.24986483e-05	2.65338234e-05	-4.03517515e-06
4000            	2.38361181e-01	1.19185001e-01	1.19176180e-01	1.10622227e+00	5.25788317e-01	5.80433951e-01	-2.73228170e-02	4.41020126e-06	-3.52638382e-06	-4.63946496e-06	-5.84611630e-06	1.20665134e-06
4050            	2.38379968e-01	1.19189132e-01	1.19190836e-01	1.10629131e+00	5.25806092e-01	5.80485221e-01	-2.73395640e-02	-8.51961380e-07	-2.12093829e-05	-3.02889703e-05	-3.63538680e-05	6.06489774e-06
4100            	2.38334827e-01	1.19177819e-01	1.19157009e-01	1.10611502e+00	5.25751683e-01	5.80363333e-01	-2.73058249e-02	1.04049217e-05	1.53519793e-05	2.39327341e-05	2.73183464e-05	-3.38561232e-06
4150            	2.38359487e-01	1.19184026e-01	1.19175461e-01	1.10626513e+00	5.25817060e-01	5.80448069e-01	-2.73155043e-02	4.28228344e-06	-3.79529603e-06	-3.89472568e-06	-5.74265888e-06	1.84793319e-06
4200            	2.38372164e-01	1.19185139e-01	1.19187025e-01	1.10632756e+00	5.25837886e-01	5.80489679e-01	-2.73258967e-02	-9.42793224e-07	-2.11647306e-05	-2.94631904e-05	-3.58963259e-05	6.43313543e-06
4250            	2.38367812e-01	1.19194167e-01	1.19173646e-01	1.10629081e+00	5.25814097e-01	5.80476715e-01	-2.73313086e-02	1.02603920e-05	1.54371317e-05	2.41707703e-05	2.75225168e-05	-3.35174649e-06
4300            	2.38346904e-01	1.19178100e-01	1.19168804e-01	1.10623855e+00	5.25821154e-01	5.80417393e-01	-2.72981193e-02	4.64775330e-06	-4.54239524e-06	-4.19269815e-06	-6.63874431e-06	2.44604616e-06
4350            	2.38355429e-01	1.19176551e-01	1.19178878e-01	1.10634984e+00	5.25879034e-01	5.80470804e-01	-2.72958848e-02	-1.16309285e-06	-2.28628703e-05	-3.18579129e-05	-3.87918267e-05	6.93391381e-06
4400            	2.38345443e-01	1.19182614e-01	1.19162829e-01	1.10620862e+00	5.25795819e-01	5.80412802e-01	-2.73084918e-02	9.89293559e-06	1.46940283e-05	2.35200457e-05	2.64540512e-05	-2.93400541e-06
4450            	2.38389362e-01	1.19198861e-01	1.19190501e-01	1.10630158e+00	5.25785453e-01	5.80516132e-01	-2.73653395e-02	4.18018838e-06	-4.65146524e-06	-5.34467715e-06	-7.32380382e-06	1.97912667e-06
4500            	2.38342174e-01	1.19169453e-01	1.19172721e-01	1.10616790e+00	5.25782955e-01	5.80384942e-01	-2.73009934e-02	-1.63384688e-06	-2.30389684e-05	-3.23753847e-05	-3.92266608e-05	6.85127606e-06
4550            	2.38343367e-01	1.19181737e-01	1.19161630e-01	1.10618958e+00	5.25778376e-01	5.80411208e-01	-2.73164162e-02	1.00533407e-05	1.43910540e-05	2.24146525e-05	2.55983802e-05	-3.18372773e-06
4600            	2.38377215e-01	1.19193300e-01	1.19183915e-01	1.10629069e+00	5.25800281e-01	5.80490407e-01	-2.73450629e-02	4.69216105e-06	-3.57141122e-06	-3.36475195e-06	-5.25378720e-06	1.88903525e-06
4650            	2.38366143e-01	1.19181734e-01	1.19184409e-01	1.10623761e+00	5.25797304e-01	5.80440308e-01	-2.73215020e-02	-1.33740232e-06	-2.14600732e-05	-3.06262594e-05	-3.67732030e-05	6.14694353e-06
4700            	2.38345298e-01	1.19183043e-01	1.19162255e-01	1.10625790e+00	5.25836826e-01	5.80421077e-01	-2.72921253e-02	1.03937738e-05	1.58996353e-05	2.43549806e-05	2.80771256e-05	-3.72214499e-06
4750            	2.38342210e-01	1.19175897e-01	1.19166313e-01	1.10623602e+00	5.25817549e-01	5.80418469e-01	-2.73004602e-02	4.79245317e-06	-4.05172087e-06	-4.60252584e-06	-6.35298379e-06	1.75045795e-06
4800            	2.38363377e-01	1.19180658e-01	1.19182719e-01	1.10624027e+00	5.25785003e-01	5.80455270e-01	-2.73351336e-02	-1.03049498e-06	-2.12597873e-05	-2.97946896e-05	-3.61571321e-05	6.36244250e-06
4850            	2.38346276e-01	1.19183368e-01	1.19162907e-01	1.10626524e+00	5.25831546e-01	5.80433690e-01	-2.73010724e-02	1.02304860e-05	1.50393326e-05	2.36448841e-05	2.68617746e-05	-3.21689055e-06
4900            	2.38368852e-01	1.19189072e-01	1.19179780e-01	1.10632503e+00	5.25838710e-01	5.80486318e-01	-2.73238040e-02	4.64611685e-06	-4.18391240e-06	-4.66693661e-06	-6.51738070e-06	1.85044409e-06
4950            	2.38370187e-01	1.19183681e-01	1.19186506e-01	1.10615633e+00	5.25731532e-01	5.80424795e-01	-2.73466312e-02	-1.41267631e-06	-2.27387685e-05	-3.27545632e-05	-3.91160500e-05	6.36148686e-06
5000            	2.38352048e-01	1.19186080e-01	1.19165968e-01	1.10622707e+00	5.25800769e-01	5.80426301e-01	-2.73127660e-02	1.00557116e-05	1.49015947e-05	2.31704584e-05	2.64868239e-05	-3.31636549e-06
