# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
190           	2.239912e-03	1.275953e-02	1.375386e-02	1.438238e-03	7.412908e-04
191           	2.223393e-03	1.314400e-02	1.163474e-02	1.431613e-03	7.360016e-04
192           	2.206529e-03	1.299481e-02	1.002685e-02	1.426024e-03	7.306640e-04
193           	2.189016e-03	1.264066e-02	1.025885e-02	1.422715e-03	7.252770e-04
194           	2.163897e-03	1.240259e-02	1.382148e-02	1.421565e-03	7.198673e-04
195           	2.138888e-03	1.275555e-02	1.340832e-02	5.878490e-03	1.552289e-03
196           	2.561644e-03	5.578394e-02	7.889904e-01	3.329541e-03	1.584563e-03
197           	2.294109e-03	2.887392e-01	7.280369e-02	2.981629e-03	1.069296e-03
198           	2.151803e-03	1.318205e-01	3.923269e-01	8.800988e-03	1.895147e-03
199           	2.686434e-03	3.577753e-01	8.847479e-02	3.435711e-03	1.576554e-03
200           	2.157363e-03	2.380749e-01	8.065204e-02	4.187915e-03	9.448616e-04
201           	2.107711e-03	2.249274e-01	2.787505e-01	3.654018e-03	8.000234e-04
202           	2.044503e-03	2.252684e-01	6.459471e-02	3.222834e-03	7.573064e-04
203           	1.972620e-03	2.064101e-01	6.906140e-02	7.041290e-03	1.573348e-03
204           	2.339127e-03	2.560728e-01	4.914135e-01	4.018359e-03	1.617124e-03
205           	2.075152e-03	2.697509e-01	1.045302e-01	3.649129e-03	1.087142e-03
206           	1.932123e-03	1.808467e-01	2.353806e-01	8.994164e-03	1.883781e-03
207           	2.438993e-03	3.291692e-01	9.063077e-02	3.385713e-03	1.571952e-03
208           	1.947977e-03	2.668400e-01	1.016354e-01	4.369249e-03	9.279743e-04
209           	1.902175e-03	2.675689e-01	3.886942e-01	3.808142e-03	7.776237e-04
210           	1.835858e-03	2.491224e-01	7.231993e-02	7.342846e-03	1.535919e-03
211           	2.175153e-03	2.831076e-01	2.107743e-01	4.210155e-03	1.579018e-03
212           	1.920944e-03	3.446728e-01	8.830857e-02	3.899757e-03	1.056717e-03
213           	1.780417e-03	2.384373e-01	2.294382e-01	8.964346e-03	1.840360e-03
214           	2.252254e-03	3.853447e-01	7.782240e-02	3.349773e-03	1.532502e-03
215           	1.789450e-03	3.053492e-01	9.195389e-02	4.470748e-03	8.950967e-04
216           	1.744502e-03	3.102793e-01	3.050589e-01	7.506262e-03	1.516525e-03
217           	2.045247e-03	3.224075e-01	2.171702e-01	4.447989e-03	1.522726e-03
218           	1.809389e-03	4.564023e-01	8.130691e-02	4.177546e-03	1.016342e-03
219           	1.677992e-03	2.846025e-01	5.190868e-01	8.713118e-03	1.759976e-03
220           	2.092067e-03	4.343372e-01	1.094218e-01	3.458952e-03	1.495679e-03
